Topics,Titles,Description
Movie Review ,The ‘Killers of the Flower Moon’ Ending Is a Scorsese All-Timer,It's destined to be as polarizing as a certain Boston rat—but there was no other way for a film like this to end.
Movie Review ,Behind the concerns and complex feelings some Indigenous audiences have about Killers of the Flower Moon,"While Indigenous critics praised actor Lily Gladstone’s performance in Martin Scorsese's new film Killers of the Flower Moon, which depicts the Osage Nation murders of the 1920s, some felt the Osage characters were underwritten or stereotypical and the violen…"
Production,‘Killers Of The Flower Moon’ Intermission Courtesy Of Theater Owners At Handful Of Venues Spurs Intervention From Paramount,"A handful of theaters across the globe have imposed their own intermission on Martin Scorsese’s Killers of the Flower Moon, Deadline has confirmed, leading to intervention on the part of the Apple pic’s theatrical distributor, Paramount. While intermissions w…"
Scorsese,Ranking Killers of the Flower Moon in Martin Scorsese’s Filmography,"So, Martin Scorsese’s Killers of the Flower Moon is really, really good. At 3+ hours, I expected a slog and figured I’d drift in and out of consciousness during my 7 p.m. IMAX showing. Instead, I was riveted from start to finish, captivated by this sad, stran…"
Actors,Why People Can’t Stop Talking About Brendan Fraser’s ‘Killers of the Flower Moon’ Performance,He's the most controversial part of Scorsese's latest masterpiece.
Movie Review ,‘Killers of the Flower Moon’ Is Scorsese’s Movie Miracle,"Photo Illustration by Thomas Levinson/The Daily Beast/Getty/Apple TV+ Not sure what to watch next? Subscribe to The Daily Beast’s Obsessed See Skip newsletter here and get the latest show and movie recommendations every Tuesday.There are roughly 47,000—oh, w…"
Themes Covered,Osage Chief Geoffrey Standing Bear On Why His Grandmother Wouldn’t Speak Of Murders Depicted In ‘Killers Of The Flower Moon’ – The Deadline Q&A,"When author David Grann sought out the Osage tribe to tell the 100-year-old crime story behind Killers of the Flower Moon, it would have been understandable that Osage leaders would have been skeptical. After all, back when an endless supply of oil was found …"
Movie Review ,‘Killers of the Flower Moon’ Has the Best Ending of the Year,"Melinda Sue Gordon It’s always a wonderful thing when a great filmmaker makes a new movie, and few (if any) are greater than Martin Scorsese. The man has given us films like Raging Bull, Taxi Driver, Goodfellas, and Mean Streets over his 50-plus year career,…"
Financial Performance,‘Killers Of The Flower Moon’ Is Sadly Another 2023 Big-Budget Flop,"Apple Studios won't see profits from its big-screen prestige picture, but that's nothing new in Hollywood. What's new is how much the studio is willing to lose along the way."
Themes Covered,Killers of the Flower Moon Osage Murders Explained: Is It Based on a True Story?,"With Killers of the Flower Moon out, fans want more clarity on the Osage Murders. Many want to know if the film is based on a true story. Here’s a breakdown of the Osage Murders and the film’s inspiration. Is Killers of the Flower Moon based on a true story? …"
Movie Review ,"Reservation Dogs’ Devery Jacobs Calls Killers of the Flower Moon ‘Painful, Grueling’","Reservation Dogs' Devery Jacobs explains why she found Killers of the Flower Moon “painful, grueling, unrelenting and unnecessarily graphic.” The post Reservation Dogs’ Devery Jacobs Calls Killers of the Flower Moon ‘Painful, Grueling’ appeared first on Comin…"
Production,Killers of the Flower Moon Editor on Inserted Intermissions: ‘That’s a Violation’,Thelma Schoonmaker speaks out against movie theaters that are inserting intermissions into Martin Scorsese's Killers of the Flower Moon. The post Killers of the Flower Moon Editor on Inserted Intermissions: ‘That’s a Violation’ appeared first on ComingSoon.ne…
Actors,How Martin Scorsese's 'Killers of the Flower Moon' Uses DiCaprio's Star Power to Subvert Expectations,"There must be an uncanny feeling when you work with an actor a lot like Martin Scorsese has with Leonardo DiCaprio (and Robert De Niro, for that matter). You see them in roles, but do you really see what they can do anymore, or are you just putting them in ro…"
Production,Several Theaters Have Been Adding an Intermission to 'Killers of the Flower Moon',The new Martin Scorsese movie is three hours and twenty-six minutes long. It's one that he meticulously shotlisted and edited with Thelma Schoonmaker to find the right pacing and storytelling. He even released a companion list of all the films that inspired h…
Movie Review ,How ‘Killers of the Flower Moon’ Fails Native Americans Like Me,Apple TV+ It’s the genteel kindness of the white characters in Martin Scorsese’s new film Killers of the Flower Moon that hit me hardest. The ease with which they could both comfort and kill their Osage friends and families. The veneer of love and compassion…
Movie Review ,The Dark Message of “Killers of the Flower Moon”,"Jorge Cotte   Unlike the visions of unbounded freedom found in traditional westerns, Martin Scorsese’s new film is a study of a West bounded by the vertical geometry of oil rigs and the byzantine conspiracies of powerful men.     The post The Dark Message o…"
Scorsese,Martin Scorsese Says He Couldn’t Have Made Killers of the Flower Moon “Even 10 Years Ago”,"During a recent Q&A, the director unpacked his own evolution as a filmmaker.  Martin Scorsese Says He Couldn’t Have Made Killers of the Flower Moon “Even 10 Years Ago” Liz Shannon Miller"
Actors,Leonardo DiCaprio Wore Butt Padding for Killers of the Flower Moon Spanking Scene,"""I do remember doing them quite a few times and thinking, 'Oh, that must hurt,'"" cinematographer Rodrigo Prieto recalled.  Leonardo DiCaprio Wore Butt Padding for Killers of the Flower Moon Spanking Scene Carys Anderson"
Movie Review ,Reservation Dogs Star Devery Jacobs Wasn’t a Fan of 'Killers of the Flower Moon',"The Indigenous actress called out Martin Scorsese's latest film for its ""painful, grueling, unrelenting and unnecessarily graphic” violence against the Osage people, though she also had praise for its leading lady: “Give Lily her damn Oscar.”"
Movie Review ,"Killers of the Flower Moon reaction, raising teenagers","Listen now! ... The post Killers of the Flower Moon reaction, raising teenagers appeared first on The Reformed Broker."
Movie Review ,"For Native viewers, 'Killers of the Flower Moon' is an imperfect triumph","Osage and other Native American viewers who spoke to The Times have reservations about 'Killers of the Flower Moon,' but say it's a step in the right direction."
Themes Covered,“Killers of the Flower Moon” puts Oklahoma’s Dark History of Native Osage Murders on Display,"By: Carmen Forman  ( Florida Phoenix) - OKLAHOMA CITY — Although many Oklahomans were long ignorant about how white settlers systematically murdered members of the Osage Nation for their oil wealth in the 1920s, “Killers of the Flower Moon” will mark a milest…"
Themes Covered,Killers Of The Flower Moon: The Deeper & Tragic Meaning Behind Mollie’s Nickname For Ernest,"In Killers of the Flower Moon, Mollie's nickname for Ernest holds great importance for his character and shapes his actions in the movie."
Themes Covered,What Happened To Tom White After Killers Of The Flower Moon & Osage Investigation,"Killers of the Flower Moon introduces Tom White (Jesse Plemons), a BOI agent who was key in solving the mystery of the murders of the Osage people."
Production,"'Killers of the Flower Moon' Intermissions Banned, Apple & Paramount Reprimand Theaters Who Added Them","Some movie theaters are implementing intermissions during screenings of Martin Scorsese‘s Killers of the Flower Moon, prompting Apple and Paramount to intervene. In spite of the film’s nearly three-and-a-half-hour runtime, Martin did not include an intermissi…"
Movie Review ,Reservation Dogs Star Lashes Out at Killers of the Flower Moon for ‘Horrific’ Violence Against Native Characters,"Martin Scorsese’s new movie Killers of the Flower Moon is getting serious Oscar buzz — but Reservation Dogs star Devery Jacobs is not a fan. The Native actress spelled out her criticisms of the film, which stars Leonardo DiCaprio and Robert De Niro, in a leng…"
Production,'It's about choice': Cinema CEO blasts studios over no interval for Killers of the Flower Moon,"Studios have cracked down on a handful of overseas cinemas for running Killers of the Flower Moon with an interval, but the head of two dozen cinemas in Australia says customers should be given a choice."
Actors,Seeing Lily Gladstone beyond ‘Killers of the Flower Moon’,"She may well be in Oscar voters’ sights, but she’s also done some TV work, including ""Reservation Dogs,"" ""Billions,"" and the upcoming Hulu miniseries “Under the Bridge.”"
Production,Paramount Is Banning Intermissions During Screenings of Killers of the Flower Moon,"Good news for Scorsese purists, bad news for the human bladder."
Movie Review ,What Indigenous Artists Are Saying About Killers of the Flower Moon,"Martin Scorsese’s ‘Killers of the Flower Moon’ debuted in theaters on October 20, and the response from critics has been strongly positive. But what about the Indigenous people the story belongs to?"
Movie Review ,"'Reservation Dogs' Star Devery Jacobs Slams 'Killers of the Flower Moon,' Says Film 'Further Dehumanizes Our People'","Devery Jacobs is sharing her thoughts on Martin Scorsese‘s new movie Killers of the Flower Moon, which recounts the murders of indigenous Osage tribe members in 1920s Oklahoma. While the film, based on David Grann‘s novel, has received widespread critical acc…"
Movie Review ,Marvel director Joe Russo Makes Fun of Scorsese and ‘Killers of the Flower Moon’ Box-Office,"‘Avengers: Endgame’ director Joe Russo via TikTok pic.twitter.com/ZEchOD2FSU — Film Updates (@FilmUpdates) October 30, 2023 The man behind Avengers: Endgame – which is the second highest grossing film of all time, threw some shade at Marvel critic Martin Sco…"
Actors,Leonardo DiCaprio Wore Padding to Get Spanked by Robert De Niro in 'Killers of the Flower Moon',"Leonardo DiCaprio has some very memorable scenes in his new movie with co-star Robert De Niro. The 48-year-old actor wore butt padding for his spanking scene with the 80-year-old actor in Killers of the Flower Moon, according to cinematographer Rodrigo Prieto…"
Movie Review ,Cautionary Tales – Killers of the Flower Moon: Osage Chief Jim Gray In Conversation,Henry Roan has been shot through the back of his head. The local sheriff and town marshall have found his body slumped over the steering wheel of his car. There’s no gun at the scene: this is no suicide – it’s murder. And the man who ordered Henry Roan’s kill…
Themes Covered,Osage Chief Geoffrey Standing Bear on Killers of the Flower Moon,"Osage Chief Geoffrey Standing Bear On Why His Grandmother Wouldn’t Speak Of Murders Depicted In ‘Killers Of The Flower Moon’ (click photo below for story) https://t.co/6mAcROIks3 — Deadline Hollywood (@DEADLINE) October 24, 2023Osage Chief Geoffrey Standing …"
Financial Performance,Nolte: Robert De Niro’s ‘Killers of the Flower Moon’ DOA at Box Office,Oscar-winning director Martin Scorsese's Killers of the Flower Moon is dead on arrival after its second-weekend box office collapsed to just $9 million.
Movie Review ,‘Reservation Dogs’ Devery Jacobs Says Watching ‘Killers of the Flower Moon’ Was “F***ing Hellfire”,"#ReservationDogs star Devery Jacobs shared her opinion about #KillersOfTheFlowerMoon: ""Our pride for being Native, our languages, cultures, joy & love are way more interesting & humanizing than showing the horrors white men inflicted on us” https://t.co/TRBz0…"
Production,"Theaters are violating contracts by having an intermission in ""Killers of The Flower Moon""","Paramount and Apple Original Films have been contacting theaters that violated their contracts by inserting intermissions into Martin Scorsese's “Killers of the Flower Moon,” according to an individual with knowledge of the situation.The Lyric, a theater in F…"
Actors,DiCaprio Wore Butt Padding To Get Spanked By Robert De Niro In ‘Killers Of The Flower Moon’,"""You could tell De Niro was really hitting him,"" cinematographer Rodrigo Prieto said."
Themes Covered,How Osage people stepped in to be sure 'Killers of the Flower Moon' got things right,"The new Martin Scorsese film Killers of the Flower Moon doesn't shy away from the harsh realities of the Osage murders it depicts. But with input from the community, it also celebrates Osage culture."
Movie Review  ,"Native American Actress Attacks 'Killers of the Flower Moon' for Focusing on 'White Perspective,' Tells White Oklahomans 'F**k You'","A Native American actress has publicly attacked Killers of the Flower Moon for focusing on the ""white perspective"" while also singling out “non-Native” director Martin Scorsese for being “given the liberty to tell our stories.”"
Production,Apple’s ‘Killers of the Flower Moon’ leads feature film strategy shift,"Apple Studio’s new film ""Killers of the Flower Moon,"" from director Martin Scorsese, debuted in theaters this past weekend… The post Apple’s ‘Killers of the Flower Moon’ leads feature film strategy shift appeared first on MacDailyNews."
Financial Performance,Apple Studios’ ‘Killers of the Flower Moon’ opens strongly; second only to Taylor Swift,"While the box office belonged for a second time to “Taylor Swift: The Eras Tour,” Martin Scorsese’s “Killers of the Flower Moon” got off… The post Apple Studios’ ‘Killers of the Flower Moon’ opens strongly; second only to Taylor Swift appeared first on MacDai…"
Themes Covered,‘Killers of the Flower Moon’ and Why Native Stories Should Be Told by Native Filmmakers (Commentary),"Scorsese's film is a meaningful step for representation, but it's time to give Native storytellers the megaphone The post ‘Killers of the Flower Moon’ and Why Native Stories Should Be Told by Native Filmmakers (Commentary) appeared first on TheWrap."
Production,Studios Crack Down on Theaters Showing ‘Killers of the Flower Moon’ With Intermissions,"Insiders told TheWrap that the practice was ""a violation of... the Domestic Licensing Agreement"" The post Studios Crack Down on Theaters Showing ‘Killers of the Flower Moon’ With Intermissions appeared first on TheWrap."
Financial Performance,‘Killers of the Flower Moon’ $23 Million Opening Kicks Off Apple’s Movie Master Plan,"The Scorsese film had the widest theatrical release from a streamer, part of a strategy to partner with top filmmakers and legacy studios to lure more subscribers to Apple TV+ The post ‘Killers of the Flower Moon’ $23 Million Opening Kicks Off Apple’s Movie M…"
Actors,KILLERS OF THE FLOWER MOON Star Lily Gladstone in Burning Wagon Designs at the 2023 TIME100 Next Gala,"When we saw that Killers of the Flower Moon star Lily Gladstone hit the red carpet at the Time 100 Gala as an honoree, there was no question she was getting the spotlight post treatment. It didn’t even matter what she was wearing; we just feel like she more t…"
Financial Performance,"Taylor Swift bests Martin Scorsese at box office, but Killers Of The Flower Moon opens strongly","Killers Of The Flower Moon debuted with US$23 million (S$31.5 million) in North America, marking the third best opening for the 80-year-old Scorsese, following Shutter Island (US$41 million in 2010) and The Departed (US$26.9 million in 2006)."
Movie Review ,Killers of the Flower Moon is a devastating snapshot of America’s truth laid bare,"Killers of the Flower Moon — in theaters now — from director Martin Scorsese is a powerful, imperfect film that you absolutely must see."
Production,Theaters created intermissions for ‘Killers of the Flower Moon’ & the studios are mad,"People have been talking about the length of movies these days. Director Alexander Payne recently said “there are too many damn long movies these days,” and he suggested that it was an editing issue. I would go further than that and say that streamers have en…"
Movie Review ,"For Native viewers, ‘Killers of the Flower Moon’ is an imperfect triumph","With Scorsese at the helm instead of an Indigenous director, Osage people feared that the film would be yet another example of Hollywood's traditionally stereotypical portrayal of Native Americans."
Movie Review ,"Killers of the Flower Moon “Dehumanizes” Native Women, Says Reservation Dogs Star Devery Jacobs","Reservation Dogs star Devery Jacobs slams Martin Scorsese’s Killers of the Flower Moon, criticizing the film for “dehumanizing” Native Americans."
Themes Covered,"For the Osage Nation, the betrayal of the murders depicted in 'Killers of the Flower Moon' still lingers","Despite the perpetrators being tried and convicted, anti-Indigenous sentiment roiled the area for decades."
Financial Performance,Taylor Swift Movie Beats Scorsese's Killers Of The Flower Moon For US Opening Weekend,"The newest movie from Oscar-winning director Martin Scorsese, the 3.5-hour Killers of the Flower Moon, opened in theaters this weekend, but it was not the No. 1 film at the US box office. Taylor Swift's Eras Tour film, in its second weekend, outperformed Kill…"
Production,"Killers of the Flower Moon given intermissions without Scorsese, studio approval","Markets around the world added intermissions to Killers of the Flower Moon, but these violations were shut down by the studio. The post Killers of the Flower Moon given intermissions without Scorsese, studio approval appeared first on JoBlo."
Actors,De Niro really spanked DiCaprio in Killers of the Flower Moon,DiCaprio must have been naughty enough on the set of Killers of the Flower Moon for De Niro to actually whack him with a paddle. The post De Niro really spanked DiCaprio in Killers of the Flower Moon appeared first on JoBlo.
Production,Some Theaters Add Intermission to ‘Killers of the Flower Moon’ Against Studios’ Wishes,Apple and Paramount are cracking down on some theaters adding an intermission to Martin Scorsese's Killers of the Flower Moon. The director did not include ... Read More
Scorsese,Martin Scorsese’s Strengths Seem Wasted in ‘Killers of the Flower Moon’,The director appears to be so in love with his own work that he can't edit or delete a single scene.
Movie Review ,‘Killers of the Flower Moon’ Is The Crown Jewel Of DiCaprio-Scorsese Collaborations,"Killers is the sixth feature film Martin Scorsese’s made with charismatic megastar Leonardo DiCaprio, who himself still has yet to turn fifty."
Scorsese,‘Killers of the Flower Moon’ Is Martin Scorsese’s David Lynch Movie,"In many cases, the Lynch influences in Killers show up as what might well be overt references."
Movie Review ,"‘Killers of the Flower Moon’ is not a great film, but it is an important film for one simple reason",OPINION: Martin Scorsese's epic about the killings of the Osage people exposes another lost chapter in America's dark past and even alludes to another important historical moment — the Tulsa Race Massacre If America’s educational system is not going to teach …
Scorsese,The Swerve That Makes Killers of the Flower Moon Peak Scorsese,"In telling the story of the Osage murders, the director strips everything down—and the result is pure horror, laid bare."
Movie Review ,‘Reservation Dogs’ Actress Devery Jacobs Derides ‘Killers Of The Flower Moon’ As “F*cking Hellfire” That “Further Dehumanizes Our People”,"At its LA premiere last week, Osage community members who worked on Martin Scorsese‘s “Killers Of The Flower Moon” expressed reservations about its depiction of the Osage Nation tribe. But their feedback isn’t nearly as harsh as how “Reservation Dogs” star De…"
Financial Performance,"Apple's Killers of the Flower Moon collects $44M in its global debut including $23M in North America, usually seen as low for an over $200M budget film (Rebecca Rubin/Variety)","Rebecca Rubin / Variety: Apple's Killers of the Flower Moon collects $44M in its global debut including $23M in North America, usually seen as low for an over $200M budget film  —  The film also brought in $21 million from 63 international territories for a g…"
Themes Covered,Is Killers of the Flower Moon the Indigenous Community’s Green Book?,Photo: Michael Kovac/Getty Images for Champagne Collet & OBC Wines (Getty Images) Black people are very familiar with Hollywood’s fascination with portraying the pain and trauma of marginalized communities. While it helps to have those stories acknowledged a…
Scorsese,'You talkin' to me?' How Scorsese's 'Killers of the Flower Moon' gets in your head,"In his elder years, Martin Scorsese seems to be questioning his complicity as a filmmaker. He's not renouncing his prior artistic choices but he's cognizant of how the world around him has shifted."
Other Movies,Watch Martin Scorsese’s 16-Minute Movie ‘The Audition’ During Your ‘Killers of the Flower Moon’ Bathroom Breaks,The star-studded short is an easy-breezy watch for those on a time crunch.
Movie Review  ,Killers of the Flower Moon Isn’t the First Movie to Tell This Story,"In Hollywood’s first take on the Osage murders, the Osage didn’t have a single line."
Production,Theaters' 'Killers of the Flower Moon' Intermissions Draw Crackdown,"Some theaters are choosing to insert an intermission into “Killers of the Flower Moon,” The Wrap has learned. Neither Paramount as the theatrical distributor nor Apple as the producer were pleased, an individual with knowledge of the matter said. Two European…"
Themes Covered,Killers of the Flower Moon Is Not the Story an Osage Would Have Told. You Should Still See It.,I’ve never seen a movie immerse itself in a culture like this film did with ours.
Scorsese,'Killers Of The Flower Moon' Correctly Makes This Big Choice. It Shouldn't Be So Unusual.,Martin Scorsese’s crucial change to his epic new film makes the story more honest.
Movie Review ,Review: Killers Of The Flower Moon,"Scorsese’s vision and memorable execution of a complex, heart-breaking tale of lies and deception is bolstered by powerful performances from the three lead actors."
Movie Review ,‘Reservation Dogs’ Star Devery Jacobs Slams ‘Killers Of The Flower Moon’ In Impassioned Critique: “Watching This Movie Was F**king Hellfire”,"“I don’t feel that these very real people were shown honor or dignity in the horrific portrayal of their deaths,"" she wrote."
Movie Review ,5 money lessons to learn from Martin Scorsese’s ‘Killers of the Flower Moon’,"Leonardo DiCaprio acquired the rights to Killers of the Flower Moon, and shared it with Martin Scorsese and now this epic movie is in the theatres. Let's delve into a few money lessons we can learn from this movie."
Themes Covered,‘Killers of the Flower Moon’ Puts New Indigenous Stars on the Map,"When Martin Scorsese set out to make “Killers of the Flower Moon,” a film based on a true story about a series of murders targeting the Osage community in the 1920s, the director needed to cast 63 credited Native American roles. So his team called casting dir…"
Movie Review ,‘Reservation Dogs’ star slams ‘Killers of the Flower Moon’ for ‘helpless' Osage characters,"Devery Jacobs, the Indigenous actor best known for playing Elora on three seasons of FX and Hulu’s “Reservation Dogs,” took to X to share the “strong feelings” she had about Martin Scorsese’s “Killers of the Flower Moon.” She called out the $200 million Weste…"
Movie Review ,Reservation Dogs Star Calls Watching Killers Of The Flower Moon 'F-Ing Hellfire',"Learn More Martin Scorsese's long-awaited adaptation of ""Killers of the Flower Moon"" is finally out in theaters, adding another huge film to the director's extensive filmography. ""Huge"" is putting it mildly, too, as the historical Western drama clocks in at j…"
Other Movies,Killers Of The Flower Moon And Goodfellas: 5 Eerie Similarities You Likely Missed,"Learn More Killers Of The Flower Moon And Goodfellas: 5 Eerie Similarities You Likely Missed Though director Martin Scorsese has made a career out of bringing all kinds of different tales to the big screen, the director is best known for his crime movies. Whi…"
Movie Review ,‘Reservation Dogs’ Star Devery Jacobs Says Watching ‘Killers of the Flower Moon’ Was “F***ing Hellfire”,"Reservation Dogs star Devery Jacobs has a pretty scathing review for Martin Scorsese’s Killers of the Flower Moon. And the movie’s long runtime isn’t the issue. “Being Native, watching this movie was fucking hellfire,” Jacobs said on her X and Instagram socia…"
Themes Covered,The Real History Behind Diabetes’ Pivotal Role in Killers of the Flower Moon,What Martin Scorsese’s latest film gets right—and wrong.
Movie Review ,Osage consultant says 'Killers of the Flower Moon' ending was 'hard to take.' Here's why,"Martin Scorsese chose a different approach to conclude his drama, and there's a reason why. Here is why ""Killers of the Flower Moon"" ended the way it did."
Actors,Brendan Fraser in 'Killers of the Flower Moon' is met with intense reactions,"Brendan Fraser's performance in ""Killers of the Flower Moon"" lasted only minutes, yet it has people talking following the film's opening weekend."
Themes Covered,"""Killers of the Flower Moon"" Proves Hollywood Isn't Making Movies For Native Women Like Me","Content warning: This story includes mentions of sexual abuse and violence. Imagine a scenario where you watch a new movie featuring a character who looks like you, or at the very least looks like your mother or father or your child. You have the same feature…"
Themes Covered,"The Long, Strange, Beautiful Road to ‘Killers of the Flower Moon’","My father-in-law and my late husband, both accomplished actors, wished for a time when Hollywood would make movies about real Native Americans. Now my daughter is living it. ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ It’s 1985, and I am 24—a f…"
Financial Performance,"Taylor Swift's 'The Eras Tour' concert film continues winning streak at box-office, beats Martin Scorsese's 'Killers of the Flower Moon'","Taylor Swift's concert film, 'Taylor Swift: The Eras Tour,' continued to dominate the box office, earning $31 million over the weekend. Meanwhile, Martin Scorsese's 'Killers of the Flower Moon' had a strong start, grossing $23 million in its opening weekend."
Themes Covered,Martin Scorsese’s ‘Killers of the Flower Moon’ lights up dark dealings,Martin Scorsese’s “Killers of the Flower Moon” — with De Niro and DiCaprio — lights up dark dealings with this land’s Native Americans.
Movie Review ,Roundtable: Killers of the Flower Moon,"In his review of Killers of the Flower Moon, Chris called Martin Scorsese’s three and a half hour historical film a masterpiece and one of the best movies of 2023. Josh saw it over the weekend and immediately wanted to talk about it, so we fired up a SunBreak…"
Financial Performance,'Killers of the Flower Moon' trounces Taylor Swift's 'The Eras Tour' concert film at global box office,"Martin Scorsese's film ""Killers of the Flower Moon"" has been successful internationally, earning $21 million from 63 territories. Despite being behind Taylor Swift's ""The Eras Tour"" in North America, the crime saga has made $23 million domestically, contribut…"
Themes Covered,‘Killers of the Flower Moon’ Is a Dire Warning to the True Crime Industry,"In the final frames, Scorsese breaks the fourth wall to remind the audience of the true heart of the story: the Osage people"
Movie Review ,‘Killers of the Flower Moon’ Was ‘F–king Hellfire’ to Watch for ‘Reservation Dogs’ Star Devery Jacobs,'Reservation Dogs' Devery Jacobs speaks up about the portrayal of violence against indigenous people in Martin Scorsese's 'Killers of the Flower Moon'
Scorsese,‘Killers of the Flower Moon’: Scorsese’s masterful indictment of America,"Despite being 50 years into his illustrious career, Martin Scorsese has recently entered his imperial phase, directing some of his very best films: 2013’s “The Wolf of Wall Street” is a debauched, exhilarating time; 2016’s “Silence” — one of my favorites of a…"
Scorsese,Killers Of The Flower Moon Spoiler Review: One Of Martin Scorsese's Best Pictures,"With Killers of the Flower Moon, Martin Scorsese reminds us yet again that few other people working in film today are operating at even half of his level."
Actors,Leonardo DiCaprio wanted villain role in 'Killers of the Flower Moon’ despite concerns from studio,"Leonardo DiCaprio wanted to play the less than ethical character in Martin Scorsese's new movie, ""Killers of the Flower Moon,"" which also stars Robert De Niro."
Other Movies,Taylor Swift was the soundtrack to my Killers of the Flower Moon screening,Did you hear Taylor Swift: The Eras Tour while trying to watch Martin Scorsese’s latest movie? You aren’t alone.
Financial Performance,Killers of the Flower Moon bags big box-office numbers,"Poised for a strong run in theaters before it airs on Apple TV+, it placed third among Scorsese's biggest opening weekends.  (via Cult of Mac - Tech and culture through an Apple lens)"
Movie Review ,Reservation Dogs star Devery Jacobs slams Killers of the Flower Moon - Entertainment Weekly News,"Reservation Dogs star Devery Jacobs slams Killers of the Flower MoonEntertainment Weekly News ‘Killers of the Flower Moon’ Review: See It, Don’t Expect to Enjoy ItObserver 'Killers Of The Flower Moon' Correctly Makes This Big Choice. It Shouldn't Be So Unusua…"
Movie Review ,‘Reservation Dogs’ star slams ‘Killers of the Flower Moon’ for ‘helpless' Osage characters - NBC News,‘Reservation Dogs’ star slams ‘Killers of the Flower Moon’ for ‘helpless' Osage charactersNBC News 'Killers of the Flower Moon': What critics are saying about the filmInsider Martin Scorsese’s 'Killers of the Flower Moon' lights up dark dealingsNew York Post …
Scorsese,‘Killers of the Flower Moon’: Equally Engaging and Important,"Considered by many to be the greatest living film director, Martin Scorsese has returned to the big screen with his adaption of “Killers of the Flower Moon.” The original work is a non-fiction book that covers the tragic murders that struck the Osage nation i…"
Movie Review ,Reservation Dogs star Devery Jacobs slams Killers of the Flower Moon,'Reservation Dogs' star Devery Jacobs slams 'Killers of the Flower Moon' for being 'f---king hellfire' that 'dehumanizes our people.'
Financial Performance,Vijay's 'Leo' beats Leonardo DiCaprio's 'Killers of the Flower Moon' at global box-office,Vijay's 'Leo' beats Leonardo DiCaprio's 'Killers of the Flower Moon' at global box-officeonmanorama.com
